country_from,country_to,S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
India,Afghanistan,1,1,LIVE ANIMALS.,0.00,0.00,n/a
India,Afghanistan,2,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.00,0.00,n/a
India,Afghanistan,3,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2.21,2.30,4.23
India,Afghanistan,4,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,1.40,1.31,-6.4
India,Afghanistan,5,9,"COFFEE, TEA, MATE AND SPICES.",18.88,12.26,-35.05
India,Afghanistan,6,10,CEREALS.,1.00,0.36,-63.67
India,Afghanistan,7,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.00,0.15,19544.53
India,Afghanistan,8,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",6.62,6.40,-3.29
India,Afghanistan,9,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.56,0.03,-95.06
India,Afghanistan,10,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.02,0.01,-18.44
India,Afghanistan,11,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.01,0.02,127.38
India,Afghanistan,12,17,SUGARS AND SUGAR CONFECTIONERY.,11.67,8.77,-24.87
India,Afghanistan,13,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.09,0.12,30.02
India,Afghanistan,14,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",12.83,5.44,-57.57
India,Afghanistan,15,21,MISCELLANEOUS EDIBLE PREPARATIONS.,13.73,2.11,-84.61
India,Afghanistan,16,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.00,0.22,14446.45
India,Afghanistan,17,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,27.24,27.95,2.57
India,Afghanistan,18,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,9.26,15.91,71.78
India,Afghanistan,19,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.01,0.00,-56.09
India,Afghanistan,20,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.19,0.40,113.18
India,Afghanistan,21,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.22,0.34,53.71
India,Afghanistan,22,29,ORGANIC CHEMICALS,2.40,2.24,-6.52
India,Afghanistan,23,30,PHARMACEUTICAL PRODUCTS,85.85,104.89,22.17
India,Afghanistan,24,31,FERTILISERS.,0.01,0.03,330.33
India,Afghanistan,25,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.77,0.54,-30.12
India,Afghanistan,26,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",1.70,2.05,20.37
India,Afghanistan,27,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.27,0.26,-3.64
India,Afghanistan,28,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.01,0.04,507.16
India,Afghanistan,29,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.14,0.00,n/a
India,Afghanistan,30,38,MISCELLANEOUS CHEMICAL PRODUCTS.,1.72,1.40,-18.45
India,Afghanistan,31,39,PLASTIC AND ARTICLES THEREOF.,1.46,0.45,-69.05
India,Afghanistan,32,40,RUBBER AND ARTICLES THEREOF.,9.67,3.44,-64.45
India,Afghanistan,33,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.01,0.01,33.06
India,Afghanistan,34,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.01,0.00,-79.51
India,Afghanistan,35,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.00,0.00,n/a
India,Afghanistan,36,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",1.81,2.00,10.51
India,Afghanistan,37,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.16,0.14,-10.51
India,Afghanistan,38,50,SILK,0.00,0.00,n/a
India,Afghanistan,39,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.00,0.00,n/a
India,Afghanistan,40,52,COTTON.,0.02,0.07,364.77
India,Afghanistan,41,54,MAN-MADE FILAMENTS.,4.79,1.54,-67.91
India,Afghanistan,42,55,MAN-MADE STAPLE FIBRES.,33.40,24.22,-27.47
India,Afghanistan,43,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.10,0.09,-16.79
India,Afghanistan,44,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.00,0.00,-49.03
India,Afghanistan,45,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.43,0.05,-88.36
India,Afghanistan,46,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.01,0.01,40.81
India,Afghanistan,47,60,KNITTED OR CROCHETED FABRICS.,0.03,0.00,n/a
India,Afghanistan,48,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",11.95,3.03,-74.66
India,Afghanistan,49,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",36.92,30.57,-17.2
India,Afghanistan,50,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,4.34,2.27,-47.78
India,Afghanistan,51,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.30,0.48,61.19
India,Afghanistan,52,65,HEADGEAR AND PARTS THEREOF.,0.00,0.00,201.66
India,Afghanistan,53,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.00,0.00,n/a
India,Afghanistan,54,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",0.10,0.04,-58.09
India,Afghanistan,55,69,CERAMIC PRODUCTS.,0.02,0.09,329.6
India,Afghanistan,56,70,GLASS AND GLASSWARE.,0.04,0.02,-46.17
India,Afghanistan,57,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.01,0.01,-36.72
India,Afghanistan,58,72,IRON AND STEEL,0.27,0.10,-61.45
India,Afghanistan,59,73,ARTICLES OF IRON OR STEEL,0.26,0.63,141.59
India,Afghanistan,60,74,COPPER AND ARTICLES THEREOF.,0.15,0.00,-98.54
India,Afghanistan,61,76,ALUMINIUM AND ARTICLES THEREOF.,0.14,0.24,80.28
India,Afghanistan,62,79,ZINC AND ARTICLES THEREOF.,0.00,0.00,1.45
India,Afghanistan,63,80,TIN AND ARTICLES THEREOF.,0.01,0.02,41.93
India,Afghanistan,64,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.00,0.03,n/a
India,Afghanistan,65,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",1.36,0.66,-51.89
India,Afghanistan,66,83,MISCELLANEOUS ARTICLES OF BASE METAL.,0.63,0.10,-84.28
India,Afghanistan,67,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",8.20,13.26,61.63
India,Afghanistan,68,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",4.36,3.62,-16.91
India,Afghanistan,69,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",24.66,28.99,17.58
India,Afghanistan,70,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",6.02,0.00,n/a
India,Afghanistan,71,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",3.85,5.85,52.01
India,Afghanistan,72,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.00,0.00,-92.85
India,Afghanistan,73,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.00,0.00,n/a
India,Afghanistan,74,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0.01,0.04,563.61
India,Afghanistan,75,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.00,0.01,n/a
India,Afghanistan,76,96,MISCELLANEOUS MANUFACTURED ARTICLES.,1.14,1.25,9.37
India,Afghanistan,77,98,PROJECT GOODS; SOME SPECIAL USES.,0.02,0.00,-99.4
India,Afghanistan,78,99,MISCELLANEOUS GOODS.,0.00,0.00,-3.26
India,Albania,1,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2.98,2.61,-12.36
India,Albania,2,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.01,0.00,n/a
India,Albania,3,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.41,0.54,30.86
India,Albania,4,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.03,0.09,242.02
India,Albania,5,9,"COFFEE, TEA, MATE AND SPICES.",6.44,11.96,85.74
India,Albania,6,10,CEREALS.,0.24,0.22,-8.67
India,Albania,7,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.03,0.04,31.77
India,Albania,8,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",1.53,1.63,6.73
India,Albania,9,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.00,0.00,n/a
India,Albania,10,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.00,0.00,-98.4
India,Albania,11,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.07,0.07,-8.77
India,Albania,12,17,SUGARS AND SUGAR CONFECTIONERY.,3.50,0.00,n/a
India,Albania,13,18,COCOA AND COCOA PREPARATIONS.,0.01,0.09,532.02
India,Albania,14,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.04,0.03,-23.2
India,Albania,15,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.22,0.47,114.65
India,Albania,16,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.53,0.67,25.93
India,Albania,17,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.05,0.02,-61.9
India,Albania,18,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.21,0.15,-30.39
India,Albania,19,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1068.54,0.00,n/a
India,Albania,20,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.06,0.05,-12.92
India,Albania,21,29,ORGANIC CHEMICALS,0.52,0.44,-16.32
India,Albania,22,30,PHARMACEUTICAL PRODUCTS,1.24,1.80,45.96
India,Albania,23,31,FERTILISERS.,0.01,0.07,689.33
India,Albania,24,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.00,0.01,188.05
India,Albania,25,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",0.10,0.17,68.82
India,Albania,26,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.00,0.00,-89.6
India,Albania,27,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.00,0.00,n/a
India,Albania,28,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.15,0.12,-19.86
India,Albania,29,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.00,0.00,14.21
India,Albania,30,38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.09,0.11,23.69
India,Albania,31,39,PLASTIC AND ARTICLES THEREOF.,1.20,1.32,10.02
India,Albania,32,40,RUBBER AND ARTICLES THEREOF.,1.07,0.73,-31.75
India,Albania,33,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.51,0.31,-39.7
India,Albania,34,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.06,0.19,198.51
India,Albania,35,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.12,0.08,-29.22
India,Albania,36,45,CORK AND ARTICLES OF CORK.,0.00,0.00,n/a
India,Albania,37,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.00,0.00,937.23
India,Albania,38,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2.58,2.54,-1.76
India,Albania,39,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.10,0.18,85.63
India,Albania,40,50,SILK,0.00,0.00,n/a
India,Albania,41,52,COTTON.,0.20,0.01,-96.33
India,Albania,42,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.04,0.05,12.86
India,Albania,43,54,MAN-MADE FILAMENTS.,0.00,0.13,n/a
India,Albania,44,55,MAN-MADE STAPLE FIBRES.,0.10,0.00,-99.99
India,Albania,45,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.06,0.17,179.72
India,Albania,46,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.12,0.15,25.44
India,Albania,47,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.21,0.13,-36.92
India,Albania,48,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.24,0.71,198.57
India,Albania,49,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",0.28,0.26,-9.21
India,Albania,50,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",0.04,0.01,-74.43
India,Albania,51,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.55,0.56,1.35
India,Albania,52,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.20,0.51,154.84
India,Albania,53,65,HEADGEAR AND PARTS THEREOF.,0.00,0.00,66.78
India,Albania,54,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.00,0.00,n/a
India,Albania,55,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",6.72,5.37,-20.02
India,Albania,56,69,CERAMIC PRODUCTS.,41.13,31.86,-22.54
India,Albania,57,70,GLASS AND GLASSWARE.,0.69,0.73,6.33
India,Albania,58,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.04,0.02,-61.88
India,Albania,59,72,IRON AND STEEL,0.07,0.06,-7.72
India,Albania,60,73,ARTICLES OF IRON OR STEEL,0.88,0.34,-61.67
India,Albania,61,74,COPPER AND ARTICLES THEREOF.,0.00,0.00,6.52
India,Albania,62,76,ALUMINIUM AND ARTICLES THEREOF.,1.60,0.11,-93.29
India,Albania,63,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.03,0.00,n/a
India,Albania,64,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0.14,0.10,-28.12
India,Albania,65,83,MISCELLANEOUS ARTICLES OF BASE METAL.,0.01,0.01,-9.04
India,Albania,66,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",4.93,5.19,5.24
India,Albania,67,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",1.07,1.03,-3.11
India,Albania,68,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1.06,1.73,62.47
India,Albania,69,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0.70,1.15,63.08
India,Albania,70,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0.18,0.15,-18.19
India,Albania,71,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.06,0.03,-51.93
India,Albania,72,96,MISCELLANEOUS MANUFACTURED ARTICLES.,0.02,0.08,237.92
India,Albania,73,98,PROJECT GOODS; SOME SPECIAL USES.,0.00,0.00,n/a
India,Albania,74,99,MISCELLANEOUS GOODS.,0.00,0.00,4.82
India,Algeria,1,2,MEAT AND EDIBLE MEAT OFFAL.,25.75,19.97,-22.45
India,Algeria,2,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",7.88,7.76,-1.57
India,Algeria,3,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.08,0.07,-16.35
India,Algeria,4,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.00,0.00,n/a
India,Algeria,5,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,10.53,28.33,168.93
India,Algeria,6,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,1.71,1.48,-13.51
India,Algeria,7,9,"COFFEE, TEA, MATE AND SPICES.",14.83,21.39,44.2
India,Algeria,8,10,CEREALS.,134.93,80.33,-40.47
India,Algeria,9,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.01,0.00,-97.04
India,Algeria,10,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",13.84,25.44,83.77
India,Algeria,11,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",1.78,2.97,66.76
India,Algeria,12,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.15,0.48,209.83
India,Algeria,13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.43,0.15,-65.71
India,Algeria,14,17,SUGARS AND SUGAR CONFECTIONERY.,0.85,0.78,-8.63
India,Algeria,15,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.01,0.00,n/a
India,Algeria,16,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.10,2.98,-3.75
India,Algeria,17,21,MISCELLANEOUS EDIBLE PREPARATIONS.,7.21,5.38,-25.4
India,Algeria,18,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.04,0.07,53.46
India,Algeria,19,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.88,1.55,75.28
India,Algeria,20,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.12,2.39,1979.3
India,Algeria,21,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",19.14,18.78,-1.87
India,Algeria,22,26,"ORES, SLAG AND ASH.",0.12,0.13,5.71
India,Algeria,23,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2.11,2.51,18.9
India,Algeria,24,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",4.52,5.28,16.94
India,Algeria,25,29,ORGANIC CHEMICALS,69.72,78.03,11.92
India,Algeria,26,30,PHARMACEUTICAL PRODUCTS,83.29,71.60,-14.03
India,Algeria,27,31,FERTILISERS.,0.00,0.00,n/a
India,Algeria,28,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",17.85,15.62,-12.46
India,Algeria,29,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",4.64,2.85,-38.62
India,Algeria,30,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",3.29,3.04,-7.76
India,Algeria,31,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.60,1.12,88.79
India,Algeria,32,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.00,0.40,n/a
India,Algeria,33,38,MISCELLANEOUS CHEMICAL PRODUCTS.,17.71,14.81,-16.39
India,Algeria,34,39,PLASTIC AND ARTICLES THEREOF.,55.89,39.94,-28.53
India,Algeria,35,40,RUBBER AND ARTICLES THEREOF.,7.05,10.64,50.88
India,Algeria,36,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.86,0.79,-7.49
India,Algeria,37,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.43,0.47,9.51
India,Algeria,38,45,CORK AND ARTICLES OF CORK.,0.00,0.00,202.67
India,Algeria,39,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",4.17,1.04,-74.97
India,Algeria,40,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.03,0.10,245.99
India,Algeria,41,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",1.22,0.71,-42.1
India,Algeria,42,52,COTTON.,5.17,5.65,9.1
India,Algeria,43,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,1.29,0.11,-91.33
India,Algeria,44,54,MAN-MADE FILAMENTS.,15.62,19.81,26.85
India,Algeria,45,55,MAN-MADE STAPLE FIBRES.,4.85,5.62,15.83
India,Algeria,46,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",1.29,1.08,-16.35
India,Algeria,47,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.01,0.00,-99.94
India,Algeria,48,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,2.43,3.77,55.15
India,Algeria,49,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.09,0.10,5.69
India,Algeria,50,60,KNITTED OR CROCHETED FABRICS.,3.64,4.36,19.79
